Unnamed: 0,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,review_year,review_month,availability_category
14503,735304382734128277,15-BTS Thong Lo free swimming pool and gym,402093105,Hi Gravity,Khlong Toei,13.72297,100.57277,Entire home/apt,1581,7,9,2022-12-12,5.63,45,241,9,2022.0,12,High (181-270 days)
14504,735320113093591079,17-曼谷市中心豪华温泉酒店公寓 bts thonglo 本地小吃市场免费泳池 健身房,402093105,Hi Gravity,Khlong Toei,13.72275,100.57273,Entire home/apt,1581,7,20,2022-12-14,8.22,45,241,20,2022.0,12,High (181-270 days)
14505,735347701187329719,HPZP_262_Ploenchit & Nana BTS/roof pool/500WiFi,35082871,Ed,Khlong Toei,13.739762670365485,100.55187370926213,Entire home/apt,1497,1,14,2022-12-13,5.75,33,328,14,2022.0,12,Very High (271-365 days)
14506,735363016546656765,8-Ideo Rama 9 - Asoke mrt rame9 400m,416454376,Iwo,Huai Khwang,13.75469,100.56847,Entire home/apt,1375,15,1,2022-11-02,0.53,23,364,1,2022.0,11,Very High (271-365 days)
14507,735363842769616410,9-Ideo Rama 9 - Asoke mrt rame9 400m,416454376,Iwo,Huai Khwang,13.75627,100.56818,Entire home/apt,1375,15,1,2022-11-02,0.53,23,364,1,2022.0,11,Very High (271-365 days)
14508,735365199797829945,10-Mrt rame9 400米/附近火车夜市/大型商场/按摩/易初莲花超市/无边游泳池,416454376,Iwo,Huai Khwang,13.75657,100.56691,Entire home/apt,1375,15,6,2022-11-16,2.43,23,364,6,2022.0,11,Very High (271-365 days)
14509,735381680000086719,2-mrt rame9 400m-Infinity pool/gym/shopping mall,402093105,Hi Gravity,Huai Khwang,13.75458,100.57712,Entire home/apt,1375,15,13,2022-12-23,5.27,45,243,13,2022.0,12,High (181-270 days)
14510,735384082402424250,3-mrt rame9 400m-Infinity pool/gym/shopping mall,402093105,Hi Gravity,Huai Khwang,13.75332,100.58471,Entire home/apt,1375,15,2,2022-10-20,0.81,45,243,2,2022.0,10,High (181-270 days)
14511,735384317188175387,11-Mrt rame9 400米/附近火车夜市/大型商场/按摩/易初莲花超市/无边游泳池,416454376,Iwo,Huai Khwang,13.75692,100.56801,Entire home/apt,1375,15,3,2022-11-16,1.48,23,364,3,2022.0,11,Very High (271-365 days)
14512,735392542087347897,12-Mrt rame9 400米/附近火车夜市/大型商场/按摩/易初莲花超市/无边游泳池,416454376,Iwo,Huai Khwang,13.75539,100.56852,Entire home/apt,1375,15,3,2022-11-16,1.48,23,364,3,2022.0,11,Very High (271-365 days)
14513,735401531319591253,13-Mrt rame9 400米/附近火车夜市/大型商场/按摩/易初莲花超市/无边游泳池,416454376,Iwo,Huai Khwang,13.75664,100.56775,Entire home/apt,1375,15,4,2022-11-16,1.76,23,364,4,2022.0,11,Very High (271-365 days)
14514,735402221561589043,14-Mrt rame9 400米/附近火车夜市/大型商场/按摩/易初莲花超市/无边游泳池,416454376,Iwo,Huai Khwang,13.7553,100.56643,Entire home/apt,1375,15,3,2022-11-16,1.48,23,364,3,2022.0,11,Very High (271-365 days)
14515,735403113233516455,15-Mrt rame9 400米/附近火车夜市/大型商场/按摩/易初莲花超市/无边游泳池,416454376,Iwo,Huai Khwang,13.75549,100.56661,Entire home/apt,1375,15,3,2022-11-05,1.29,23,364,3,2022.0,11,Very High (271-365 days)
14516,735423390621612198,Lofts Silom,479640508,Yoyo,Bang Rak,13.7235,100.52319,Entire home/apt,4000,15,1,2022-12-19,1.0,10,350,1,2022.0,12,Very High (271-365 days)
14517,735446330041884560,1Bedroom_Citycenter_FastWifi-GymBigPool-Checkin24h,251620538,Max,Khlong Toei,13.71686,100.57558,Entire home/apt,950,29,3,2022-12-07,1.45,8,283,3,2022.0,12,Very High (271-365 days)
14519,735486700364073184,17-Mrt rame9 400米/附近火车夜市/大型商场/按摩/易初莲花超市/无边游泳池,416454376,Iwo,Huai Khwang,13.75527,100.56658,Entire home/apt,1375,15,4,2022-11-16,1.71,23,364,4,2022.0,11,Very High (271-365 days)
14520,735487511289377501,18-Mrt rame9 400米/附近火车夜市/大型商场/按摩/易初莲花超市/无边游泳池,416454376,Iwo,Huai Khwang,13.75673,100.56788,Entire home/apt,1375,15,2,2022-11-05,0.98,23,364,2,2022.0,11,Very High (271-365 days)
14521,735489374448169268,19-Mrt rame9 400米/附近火车夜市/大型商场/按摩/易初莲花超市/无边游泳池,416454376,Iwo,Huai Khwang,13.75527,100.58478,Entire home/apt,1375,15,2,2022-11-05,0.98,23,364,2,2022.0,11,Very High (271-365 days)
14523,735490906476847463,21-Mrt rame9 400米/附近火车夜市/大型商场/按摩/易初莲花超市/无边游泳池,416454376,Iwo,Huai Khwang,13.75383,100.58553,Entire home/apt,1375,15,1,2022-11-09,0.6,23,364,1,2022.0,11,Very High (271-365 days)
14526,735494579068690906,24-Mrt rame9 400米/附近火车夜市/大型商场/按摩/易初莲花超市/无边游泳池,416454376,Iwo,Huai Khwang,13.75655,100.56807,Entire home/apt,1375,15,1,2022-11-02,0.53,23,364,1,2022.0,11,Very High (271-365 days)
14530,735737420991372773,Private King En-suite AC Bedroom in house.,215302964,Anthony,Phra Khanong,13.6974,100.59912,Private room,800,4,2,2022-11-02,0.94,7,49,2,2022.0,11,Low (0-90 days)
14531,735747931190430739,Life62condo，200MtoBTSbangchak地铁口freewifi，35m²带衣帽间,172820753,AliceGuo郭美,Phra Khanong,13.6954,100.60252,Entire home/apt,950,30,1,2022-11-24,0.86,17,148,1,2022.0,11,Moderat (91-180 days)
14532,735832429543311704,Spacious bedroom with living room at Bangkok-Loft,29665859,Sirithorn & Felix,Khlong Toei,13.71293,100.59195,Entire home/apt,1563,3,2,2022-12-13,1.46,5,341,2,2022.0,12,Very High (271-365 days)
14533,735854663392135247,Just Us Home Stay - Room 1,467343405,Justus,Phaya Thai,13.795284939165214,100.54893508584443,Private room,1400,1,1,2022-12-18,1.0,4,365,1,2022.0,12,Very High (271-365 days)
14534,735945523982677620,Luxury Stay in Sukhumvit - 4min walk BTS Ekkamai !,483266321,Hii,Khlong Toei,13.71596,100.58567,Entire home/apt,1800,7,3,2022-12-08,1.91,1,279,3,2022.0,12,Very High (271-365 days)
14536,735979523887975586,Luxury Condo with Infinity Pool and Bangkok View,417663047,Sam,Khlong San,13.72066,100.50761,Entire home/apt,1075,29,1,2022-12-10,1.0,1,216,1,2022.0,12,High (181-270 days)
14537,735992504031265147,modern Asoke near MRT & BTS asoke station 500m,185602387,Pluem,Vadhana,13.742257588953288,100.560091920197,Private room,1700,1,1,2022-11-12,0.64,16,346,1,2022.0,11,Very High (271-365 days)
14538,735997469419717628,Cozy Condo Near Airport rail link and major roads,173968390,Jakrawan,Suanluang,13.7363,100.64423,Entire home/apt,1369,2,8,2022-12-22,3.81,1,329,8,2022.0,12,Very High (271-365 days)
14540,748356518314691306,SALE! 2br for 4 ppl!Surasak BTS/Pool&GYM/WIFI,485536928,Lucas,Sathon,13.711271400506616,100.5201056851807,Entire home/apt,2221,1,13,2022-12-21,6.96,4,173,13,2022.0,12,Moderat (91-180 days)
14541,740829471414372604,Cosy & Private 1BR at the heart of Bangkok,484192238,Thanapat,Parthum Wan,13.74187,100.5501,Private room,3243,1,2,2022-12-26,2.0,2,361,2,2022.0,12,Very High (271-365 days)
14542,740834824865366433,Grand Suites Soi Sukhumvit19 With Pool - D3,45414241,Banthueng,Vadhana,13.74227,100.56157,Private room,4120,1,2,2022-12-16,0.98,7,85,2,2022.0,12,Low (0-90 days)
